age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,1,0,40, United-States,0
1, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States,0
0, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
1, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,0
0, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba,0
0, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,0
1, Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica,0
1, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,1
0, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,1,0,50, United-States,1
0, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1,0,40, United-States,1
0, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States,1
0, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,1
0, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States,0
0, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States,0
0, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, ?,1
0, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico,0
0, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States,0
0, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,0
0, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
0, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States,1
0, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,1
0, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States,0
0, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1,40, United-States,0
1, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,0
1, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
0, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,0
1, ?, Some-college, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,60, South,1
0, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States,0
1, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
0, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States,0
0, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States,0
0, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
0, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States,0
1, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico,0
0, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,0
0, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States,0
0, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, ?,1
1, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
0, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,0
1, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
0, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,0
1, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
0, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States,0
1, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States,1
0, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,0
0, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
0, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States,0
0, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,30, ?,0
1, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1,60, Honduras,1
1, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States,1
